"","x"
"1",23.9760000136893
"2",24.1274537002084
"3",25.2974300231518
"4",27.2974300231933
"5",28
"6",26.7025699768067
"7",28.5948600463866
"8",26.1077099304201
"9",24
"10",24
"11",24
"12",25.2974300231933
"13",26
"14",31.1897200927731
"15",34
"16",32.7025699768067
"17",32
"18",29.4051399536134
"19",28
"20",29.2974300231933
"21",28.7025699768067
"22",25.4051399536134
"23",24
"24",21.4051399536134
"25",20
"26",20
"27",20
"28",22.5948600463866
"29",24
"30",25.2974300231933
"31",26
"32",26
"33",26
"34",22.1077099304201
"35",20
"36",20
"37",20
"38",18.7025699768067
"39",18
"40",19.2974300231933
"41",17.4051399536134
"42",17.2974300231933
"43",15.4051399536134
"44",17.8922900695799
"45",16.1077099304201
"46",14
"47",16.5948600463866
"48",19.2974300231933
"49",18.7025699768067
"50",19.2974300231933
"51",18.7025699768067
"52",19.2974300231933
"53",20
"54",20
"55",20
"56",20
"57",18.7025699768067
"58",18
"59",19.2974300231933
"60",20
"61",18.7025699768067
"62",18
"63",18
"64",18
"65",16.7025699768067
"66",16
"67",14.7025699768067
"68",15.2974300231933
"69",16
"70",17.2974300231933
"71",16.7025699768067
"72",18.5948600463866
"73",17.4051399536134
"74",16
"75",16
"76",16
"77",16
"78",16
"79",16
"80",16
"81",16
"82",16
"83",17.2974300231933
"84",16.7025699768067
"85",14.7025699768067
"86",15.2974300231933
"87",15.3512849884034
"88",15.6487150115966
"89",14.7025699768067
"90",14.6487150115966
"91",14.3512849884034
"92",15.2974300231933
"93",16
"94",16
"95",14.7025699768067
"96",15.2974300231933
"97",16
"98",16
"99",16
"100",14.7025699768067
"101",12.7025699768067
"102",12
"103",14.5948600463866
"104",14.7025699768067
"105",15.2974300231933
"106",16
"107",18.5948600463866
"108",20
"109",18.7025699768067
"110",19.2974300231933
"111",22.5948600463866
"112",21.4051399536134
"113",18.7025699768067
"114",19.2974300231933
"115",20
"116",18.7025699768067
"117",18
"118",18
"119",18
"120",18
"121",21.8922900695799
"122",20.1077099304201
"123",21.8922900695799
"124",20.1077099304201
"125",19.2974300231933
"126",18.7025699768067
"127",18
"128",18
"129",23.1897200927731
"130",26
"131",26
"132",24.7025699768067
"133",24
"134",24
"135",21.4051399536134
"136",22.5948600463866
"137",25.2974300231933
"138",26
"139",26
"140",26
"141",24.7025699768067
"142",24
"143",25.2974300231933
"144",26
"145",26
"146",23.4051399536134
"147",22
"148",22
"149",22
"150",23.2974300231933
"151",22.7025699768067
"152",20.7025699768067
"153",20
