time,temperature,preciptation,humidity,windSpeed
2014-09-18 18:30:00,27.34,rain,0.68,5.59
2014-09-18 19:30:00,28.89,rain,0.63,4.92
2014-09-18 20:30:00,26.71,rain,0.72,5.66
2014-09-18 21:30:00,25.6,rain,0.8,4.61
2014-09-18 22:30:00,25.29,rain,0.79,5.11
2014-09-18 23:30:00,25.29,rain,0.79,5.89
2014-09-19 00:30:00,25.29,rain,0.81,4.03
2014-09-19 01:30:00,25.29,rain,0.81,4.22
2014-09-19 02:30:00,26.08,rain,0.75,3.39
2014-09-19 03:30:00,28.31,rain,0.66,3.96
2014-09-19 04:30:00,30.29,rain,0.59,4.77
2014-09-19 05:30:00,32.19,rain,0.49,4.51
2014-09-19 06:30:00,33.31,rain,0.46,4.81
2014-09-19 07:30:00,34.42,rain,0.42,4.33
2014-09-19 08:30:00,35.29,rain,0.41,4.27
2014-09-19 09:30:00,34.88,rain,0.44,1.97
2014-09-19 10:30:00,34.08,rain,0.47,4.72
2014-09-19 11:30:00,32.97,rain,0.51,5.36
2014-09-19 12:30:00,32.24,rain,0.52,4.19
2014-09-19 13:30:00,31.61,rain,0.55,4.13
2014-09-19 14:30:00,30.64,rain,0.61,3.01
2014-09-19 15:30:00,29.08,rain,0.66,3.02
2014-09-19 16:30:00,28.59,rain,0.69,4.63
2014-09-19 17:30:00,27.97,rain,0.68,3.07
2014-09-19 18:30:00,26.71,rain,0.7,2.41
2014-09-19 19:30:00,26.23,rain,0.72,3.82
2014-09-19 20:30:00,25.36,rain,0.76,3.46
2014-09-19 21:30:00,25.36,rain,0.76,3.46
2014-09-19 22:30:00,25.36,rain,0.76,3.53
2014-09-19 23:30:00,25.04,rain,0.77,3.04
2014-09-20 00:30:00,25.04,rain,0.77,3.49
2014-09-20 01:30:00,25.04,rain,0.77,2.73
2014-09-20 02:30:00,26.71,rain,0.7,4.58
2014-09-20 03:30:00,28.31,rain,0.63,4.13
2014-09-20 04:30:00,30.29,rain,0.53,4.27
2014-09-20 05:30:00,31.71,rain,0.49,4.13
